Product Name,Item Number,Product Image,Description,Overview,Feature 1,Feature 2,Feature 3,Feature 4,CS,Size,Price,Price 1-5 Cases,Price 6-29 Cases,Price 30+ Cases,productFamily,variantLabel,sellByEach,priceBy,weight,length,width,height
Standard Pillow,RDU-BED-PIL-STD-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/pillows.png,"Size: Standard | Weight: 2.0 lbs | Material: Poly-Fill, Woven Shell | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing",Standard Pillow provides dependable guest comfort with a balanced loft for hospitality bedding setups. Size: 20 x 26. It is built to hold its shape through repeated use and commercial laundry routines.,Standard 20 x 26 inch hotel sizing,26 oz fill for balanced support,Holds loft through commercial laundering,Versatile fit for most guest room beds,12,Standard,6.78,81.38,76.13,70.88,Hotel Pillow,Standard,12,CASE,2,20,26,6
King Pillow,RDU-BED-PIL-KG-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/pillowk.png,"Size: King | Weight: 2.8 lbs | Material: Poly-Fill, Woven Shell | Case Quantity: 8 | Packaging: Wholesale case pack for cost-effective bulk purchasing","King Pillow provides dependable guest comfort with a balanced loft for hospitality bedding setups. Size: 21 x 37 inches, King. It is built to hold its shape through repeated use and commercial laundry routines.",King 21 x 37 inch sizing,36 oz fill for plush support,Proportioned for king bed configurations,Retains loft under commercial laundering,8,King,9.71,77.69,72.67,67.66,Hotel Pillow,King,8,CASE,2.8,21,37,6
Queen Pillow,RDU-BED-PIL-QN-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/pillowq.png,"Size: Queen | Weight: 2.4 lbs | Material: Poly-Fill, Woven Shell | Case Quantity: 8 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Queen Pillow provides dependable guest comfort with a balanced loft for hospitality bedding setups. Size: 20 x 30 inches, Queen. It is built to hold its shape through repeated use and commercial laundry routines.",Queen 20 x 30 inch sizing,31 oz fill for supportive loft,Balances queen bed proportions,Built for repeated commercial laundering,8,Queen,7.54,60.33,56.43,52.54,Hotel Pillow,Queen,8,CASE,2.4,20,30,6
Pillow Case,RDU-BED-PCS-STD-CTN,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/pillowcase.png,Size: Standard | Weight: 0.3 lbs | Material: Cotton-Poly Blend | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Pillow Case finishes guest beds with a clean, polished hotel look. Made for frequent commercial laundering, it helps maintain a smooth presentation while supporting high-turnover housekeeping programs.",Fits standard hotel pillow sizing,"Crisp, closely woven finish",Resists graying and shrinkage,Withstands frequent industrial laundering,12,Standard,21.65,259.75,242.99,226.23,Pillow Case,Cotton,12,CASE,0.3,20,30,0.05
Microfiber Pillow Case,RDU-BED-PCS-STD-MF,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260973/pillowcasemf.png,Size: Standard | Weight: 0.25 lbs | Material: 100% Microfiber | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Microfiber Pillow Case finishes guest beds with a clean, polished hotel look. Made for frequent commercial laundering, it helps maintain a smooth presentation while supporting high-turnover housekeeping programs.","Soft, finely woven microfiber fabric","Wrinkle-resistant, fast-drying finish",Resists staining through commercial washing,Cost-effective softness upgrade,12,Standard,13.35,160.15,149.81,139.48,Pillow Case,Microfiber,12,CASE,0.25,20,30,0.05
T-180 Standard Pillow Protector,RDU-BED-PPR-STD-T180,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/pillowprotectt180.png,Size: Standard | Weight: 0.35 lbs | Material: 180 Thread Count Breathable Fabric | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-180 Standard Pillow Protector protects pillows from sweat, oils, spills, and daily guest-room use. Size: 20 x 26 inches. Made with T-180 percale weave, it supports cleaner bedding programs and stands up to regular commercial laundering.",180 thread count breathable fabric,20 x 26 inch standard pillow fit,Shields against oils and everyday soiling,Built for frequent commercial laundering,12,Standard,21.65,259.75,242.99,226.23,Pillow Protector,T-180,12,CASE,0.35,20,26,0.08
T-200 Standard Pillow Protector,RDU-BED-PPR-STD-T200,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260975/pillowprotectt200.png,Size: Standard | Weight: 0.4 lbs | Material: 200 Thread Count Refined Weave | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"T-200 Standard Pillow Protector protects pillows from sweat, oils, spills, and daily guest-room use. Size: 20 x 26 inches. Made with T-200 percale weave, it supports cleaner bedding programs and stands up to regular commercial laundering.",200 thread count refined weave,20 x 26 inch standard pillow fit,Extends usable pillow inventory life,Suited to upgraded bedding programs,12,Standard,23.82,285.79,267.35,248.91,Pillow Protector,T-200,12,CASE,0.4,20,26,0.08
100 % Waterproof Pillow Protector,RDU-BED-PPR-STD-WP,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260981/pillowwaterproof.png,Size: Standard | Weight: 0.45 lbs | Material: 100% Waterproof Membrane | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"100% Waterproof Pillow Protector protects pillows from sweat, oils, spills, and daily guest-room use. Size: 20 x 26. Made with breathable waterproof barrier, it supports cleaner bedding programs and stands up to regular commercial laundering.",100% waterproof sealed barrier,20 x 26 inch standard pillow fit,Supports hygiene and infection control,"Machine washable, commercial laundering ready",12,Standard,30.27,363.26,339.82,316.39,Pillow Protector,Waterproof,12,CASE,0.45,20,26,0.1
71x74 Hookless Shower Curtain,RDU-BTH-SHC-71X74-HKL,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/showercurtainhookless.png,"Size: 71"" × 74"" | Weight: 1.5 lbs | Material: Water-Resistant, Mildew-Resistant Fabric | Case Quantity: 30 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Hookless Shower Curtain simplifies bathroom setup with built-in loops that remove the need for separate hooks. Size: 71 x 74 inches. Its water-resistant fabric helps maintain a clean, guest-ready bathroom appearance.",Built-in hookless attachment loops,71 x 74 inch standard shower fit,Faster housekeeping installation,"Water-resistant, mildew-resistant fabric",30,"71"" × 74""",14.09,422.82,395.55,368.27,,,30,CASE,1.5,71,74,0.1
Fleece Blanket Full XL,RDU-BED-BLK-FXL-FLC,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260977/fleecexl.png,Size: Full XL | Weight: 3.0 lbs | Material: Lightweight Plush Fleece | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Full XL Fleece Blanket adds soft, lightweight warmth to hospitality bedding without creating bulky laundry handling. Size: Full XL. The fleece fabric washes easily, dries quickly, and fits regular hotel turnover routines.",Sized for Full XL guest room beds,Lightweight plush fleece fabric,"Machine washable, quick-drying",Coordinates with existing bedding colors,12,Full XL,16.23,194.76,181.33,171.92,Fleece Blanket,Full XL,12,CASE,3,80,90,0.25
Fleece Blanket Queen,RDU-BED-BLK-QN-FLC,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260977/fleeceq.png,Size: Queen | Weight: 3.5 lbs | Material: Lightweight Plush Fleece | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Queen Fleece Blanket adds soft, lightweight warmth to hospitality bedding without creating bulky laundry handling. Size: Queen. The fleece fabric washes easily, dries quickly, and fits regular hotel turnover routines.",Sized for Queen guest room beds,Lightweight plush fleece fabric,"Machine washable, quick-drying",Coordinates with existing bedding colors,12,Queen,17.24,206.94,192.67,182.68,Fleece Blanket,Queen,12,CASE,3.5,90,90,0.25
Fleece Blanket King,RDU-BED-BLK-KG-FLC,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260977/fleecek.png,Size: King | Weight: 4.0 lbs | Material: Lightweight Plush Fleece | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"King Fleece Blanket adds soft, lightweight warmth to hospitality bedding without creating bulky laundry handling. Size: King. The fleece fabric washes easily, dries quickly, and fits regular hotel turnover routines.",Sized for King guest room beds,Lightweight plush fleece fabric,"Machine washable, quick-drying",Coordinates with existing bedding colors,12,King,18.26,219.12,204.01,193.43,Fleece Blanket,King,12,CASE,4,108,90,0.25
Brand Name Full XL Top Sheet,RDU-BED-TPS-FXL-BRN,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260985/topsheetxl.png,Size: Full XL | Weight: 1.4 lbs | Material: Poly-Cotton Blend | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,Full XL Brand Name Top Sheet adds a clean layered finish while helping protect heavier bedding from direct guest contact. Size: Full XL. It is designed for commercial laundering and consistent room-to-room presentation.,Sized for Full XL bed configurations,Protects comforters from direct contact,"Crisp, brand-style bed presentation",Built for commercial laundering cycles,1,Full XL,25.36,25.36,23.62,22.39,Brand Name Top Sheet,Full XL,1,EACH,1.4,84,110,0.08
Brand Name  Queen Top Sheet,RDU-BED-TPS-QN-BRN,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260985/topsheetq.png,Size: Queen | Weight: 1.6 lbs | Material: Poly-Cotton Blend | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,Queen Brand Name Top Sheet adds a clean layered finish while helping protect heavier bedding from direct guest contact. Size: Queen. It is designed for commercial laundering and consistent room-to-room presentation.,Sized for Queen bed configurations,Protects comforters from direct contact,"Crisp, brand-style bed presentation",Built for commercial laundering cycles,1,Queen,26.38,26.38,24.56,23.29,Brand Name Top Sheet,Queen,1,EACH,1.6,94,110,0.08
Brand Name  King Top Sheet,RDU-BED-TPS-KG-BRN,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260985/topsheetk.png,Size: King | Weight: 2.0 lbs | Material: Poly-Cotton Blend | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,King Brand Name Top Sheet adds a clean layered finish while helping protect heavier bedding from direct guest contact. Size: King. It is designed for commercial laundering and consistent room-to-room presentation.,Sized for King bed configurations,Protects comforters from direct contact,"Crisp, brand-style bed presentation",Built for commercial laundering cycles,1,King,27.39,27.39,25.51,24.18,Brand Name Top Sheet,King,1,EACH,2,108,110,0.08
3Gallon Ice Liner,RDU-LNR-ICE-3GAL-ICE12,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260986/trashice.png,Size: 3 Gallon | Weight: 0.01 lbs | Material: Food-Safe Plastic Film | Case Quantity: 1000 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"3-Gallon Ice Liner - 12 x 12 inches creates a sanitary barrier for guest-room ice buckets. Size: 12 x 12 inches. The food-safe film is made for single-use replacement, helping housekeeping teams maintain clean ice service across rooms.",3-gallon guest ice bucket sizing,"Food-safe, sanitary barrier film",High case quantity for daily replacement,Quick liner change during housekeeping,1000,3 Gallon,13.18,13184.85,12275.55,11639.04,Ice Liner,"12 × 12""",1000,CASE,0.01,12,12,0.01
3Gallon Ice Liner,RDU-LNR-ICE-3GAL-ICE13,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260986/trashice.png,Size: 3 Gallon | Weight: 0.01 lbs | Material: Food-Safe Plastic Film | Case Quantity: 1000 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"3-Gallon Ice Liner - 13 x 13 inches creates a sanitary barrier for guest-room ice buckets. Size: 13 x 13 inches, 12 x 12. The food-safe film is made for single-use replacement, helping housekeeping teams maintain clean ice service across rooms.","3-gallon capacity, 13 x 13 inch fit",Food-safe sanitary ice barrier,High case quantity for daily use,Compatible with larger ice bucket models,1000,3 Gallon,13.18,13184.85,12275.55,11639.04,Ice Liner,"13 × 13""",1000,CASE,0.01,13,13,0.01
15g Soap Bar (15gm),RDU-AMN-SOP-15G-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268710/sslsoap.png,Size: 15 g | Weight: 0.03 lbs | Case Quantity: 1000 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"15 gram soap bar is a compact, single-stay bathroom amenity for hotel and rental turnovers. Individually wrapped packaging supports sanitary handling, easy room stocking, and efficient bulk inventory control.",15 gram single-stay portion size,Individually wrapped for hygiene,"1,000 units per case for bulk stock",Consistent sizing for easy inventory planning,1000,15 g,64.20,64200.50,58535.75,52871.00,,,1000,CASE,0.03,2.25,1.5,0.5
30mL Shampoo 30ml,RDU-AMN-SHM-30ML-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268704/ssl.png,Size: 30 mL | Weight: 0.08 lbs | Case Quantity: 216 | Packaging: Wholesale case pack for cost-effective bulk purchasing,30 milliliter shampoo bottle is a compact guest amenity for a coordinated hotel bathroom set. Its single-stay bottle size keeps amenity costs predictable while making housekeeping restocking simple across high-turnover rooms.,30 mL single-stay portion size,216 units per case for bulk stock,Coordinates with matching amenity set,Predictable cost across room turnover,216,30 mL,59.44,12839.15,11706.28,10573.42,,,216,CASE,0.08,1.25,1.25,4
30mL Conditioner,RDU-AMN-CON-30ML-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268704/ssl.png,Size: 30 mL | Weight: 0.08 lbs | Case Quantity: 216 | Packaging: Wholesale case pack for cost-effective bulk purchasing,30 milliliter conditioner bottle is a compact guest amenity for a coordinated hotel bathroom set. Its single-stay bottle size keeps amenity costs predictable while making housekeeping restocking simple across high-turnover rooms.,30 mL single-stay portion size,216 units per case for bulk stock,Completes coordinated hair care set,Consistent bathroom presentation property-wide,216,30 mL,59.44,12839.15,11706.28,10573.42,,,216,CASE,0.08,1.25,1.25,4
30mL Body Wash,RDU-AMN-BDW-30ML-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268704/ssl.png,Size: 30 mL | Weight: 0.08 lbs | Case Quantity: 216 | Packaging: Wholesale case pack for cost-effective bulk purchasing,30 milliliter body wash bottle is a compact guest amenity for a coordinated hotel bathroom set. Its single-stay bottle size keeps amenity costs predictable while making housekeeping restocking simple across high-turnover rooms.,30 mL single-stay portion size,216 units per case for bulk stock,Pairs with coordinated amenity line,Meets standard guest bathroom expectations,216,30 mL,59.44,12839.15,11706.28,10573.42,,,216,CASE,0.08,1.25,1.25,4
30mL Lotion 30ml,RDU-AMN-LOT-30ML-STD,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268704/ssl.png,Size: 30 mL | Weight: 0.08 lbs | Case Quantity: 216 | Packaging: Wholesale case pack for cost-effective bulk purchasing,30 milliliter lotion bottle is a compact guest amenity for a coordinated hotel bathroom set. Its single-stay bottle size keeps amenity costs predictable while making housekeeping restocking simple across high-turnover rooms.,30 mL single-stay portion size,216 units per case for bulk stock,Completes full amenity collection,Supports polished bathroom presentation,216,30 mL,59.44,12839.15,11706.28,10573.42,,,216,CASE,0.08,1.25,1.25,4
Deluxe Platform Bed Frame (Type 1) - Full XL,RDU-FUR-PBF-FXL-T1,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt1.png,Size: Full XL | Weight: 110.0 lbs | Material: Durable Metal Frame Construction | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Deluxe Platform Bed Frame Type 1 - Full XL provides stable commercial mattress support without the need for a box spring. Size: 54"" x 80"" x 16"", Full XL. Its durable platform design supports clean room presentation and long-term use in hospitality properties.",Sized for Full XL mattresses,"Solid platform, no box spring needed",Durable metal commercial construction,"Quiet, stable nightly sleep surface",1,Full XL,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 1),Full XL,1,EACH,110,54,80,16
Deluxe Platform Bed Frame (Type 1) - Queen,RDU-FUR-PBF-QN-T1,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt1.png,Size: Queen | Weight: 117.0 lbs | Material: Durable Metal Frame Construction | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Deluxe Platform Bed Frame Type 1 - Queen provides stable commercial mattress support without the need for a box spring. Size: 60"" x 80"" x 16"", Queen. Its durable platform design supports clean room presentation and long-term use in hospitality properties.",Sized for Queen mattresses,"Solid platform, no box spring needed",Durable metal commercial construction,"Quiet, stable nightly sleep surface",1,Queen,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 1),Queen,1,EACH,117,60,80,16
Deluxe Platform Bed Frame (Type 1) - King,RDU-FUR-PBF-KG-T1,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt1.png,Size: King | Weight: 132.0 lbs | Material: Durable Metal Frame Construction | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Deluxe Platform Bed Frame Type 1 - King provides stable commercial mattress support without the need for a box spring. Size: 76"" x 80"" x 16"", King. Its durable platform design supports clean room presentation and long-term use in hospitality properties.",Sized for King mattresses,"Solid platform, no box spring needed",Durable metal commercial construction,"Quiet, stable nightly sleep surface",1,King,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 1),King,1,EACH,132,76,80,16
"Deluxe Platform Bed Frame (Type 2) - 5"" Leg",,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt2.png,Deluxe platform bed frame (Type 2) with 5-inch legs offering adjustable under-bed clearance.,"This Deluxe Platform Bed Frame, Type 2, features a 5-inch leg option that raises the bed to approximately 10"" from the floor, giving hospitality operators flexibility in how guest room beds are presented. The open metal frame design allows easier under-bed cleaning access for housekeeping staff compared to solid platform styles, an important consideration for properties maintaining strict cleanliness standards. Hotels, motels, and vacation rental operators use different leg heights to match specific room aesthetics or accommodate under-bed storage needs. Constructed from durable metal designed for commercial use, it supports standard mattress weights through years of nightly guest turnover.",5-inch leg height option,"Approximately 10"" floor clearance",Open frame eases housekeeping access,Durable metal commercial construction,1,"5"" Leg",Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 2),"5"" Leg",,,,,,
"Deluxe Platform Bed Frame (Type 2) - 8"" Leg",,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt2.png,Deluxe platform bed frame (Type 2) with 8-inch legs offering adjustable under-bed clearance.,"This Deluxe Platform Bed Frame, Type 2, features a 8-inch leg option that raises the bed to approximately 13"" from the floor, giving hospitality operators flexibility in how guest room beds are presented. The open metal frame design allows easier under-bed cleaning access for housekeeping staff compared to solid platform styles, an important consideration for properties maintaining strict cleanliness standards. Hotels, motels, and vacation rental operators use different leg heights to match specific room aesthetics or accommodate under-bed storage needs. Constructed from durable metal designed for commercial use, it supports standard mattress weights through years of nightly guest turnover.",8-inch leg height option,"Approximately 13"" floor clearance",Open frame eases housekeeping access,Durable metal commercial construction,1,"8"" Leg",Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 2),"8"" Leg",,,,,,
"Deluxe Platform Bed Frame (Type 2) - 10"" Leg",,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/platformbedt2.png,Deluxe platform bed frame (Type 2) with 10-inch legs offering adjustable under-bed clearance.,"This Deluxe Platform Bed Frame, Type 2, features a 10-inch leg option that raises the bed to approximately 15"" from the floor, giving hospitality operators flexibility in how guest room beds are presented. The open metal frame design allows easier under-bed cleaning access for housekeeping staff compared to solid platform styles, an important consideration for properties maintaining strict cleanliness standards. Hotels, motels, and vacation rental operators use different leg heights to match specific room aesthetics or accommodate under-bed storage needs. Constructed from durable metal designed for commercial use, it supports standard mattress weights through years of nightly guest turnover.",10-inch leg height option,"Approximately 15"" floor clearance",Open frame eases housekeeping access,Durable metal commercial construction,1,"10"" Leg",Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Please call for our most competitive pricing on bed frames.,Deluxe Platform Bed Frame (Type 2),"10"" Leg",,,,,,
Grand Haven Mattress - Full XL,RDU-BED-MAT-FXL-GH,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/mattress.png,"Size: Full XL | Weight: 75.0 lbs | Material: Ice Touch Cover, Foam & 720-Count Pocket Coil | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Grand Haven Mattress - Full XL is built for consistent guest comfort and commercial durability. It combines an Ice Touch cover, foam comfort layers, and a 720-count pocket coil system to support hotels, resorts, motels, and vacation rentals.",Custom-milled Ice Touch cover,720-count 8-inch pocket coil system,Plush or firm comfort options,Built for commercial hospitality durability,1,Full XL,215.27,215.27,199.89,192.20,Grand Haven Mattress,Full XL,1,EACH,75,54,80,12
Grand Haven Mattress - Queen,RDU-BED-MAT-QN-GH,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/mattress.png,"Size: Queen | Weight: 85.0 lbs | Material: Ice Touch Cover, Foam & 720-Count Pocket Coil | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Grand Haven Mattress - Queen is built for consistent guest comfort and commercial durability. It combines an Ice Touch cover, foam comfort layers, and a 720-count pocket coil system to support hotels, resorts, motels, and vacation rentals.",Custom-milled Ice Touch cover,720-count 8-inch pocket coil system,Plush or firm comfort options,Built for commercial hospitality durability,1,Queen,215.27,215.27,199.89,192.20,Grand Haven Mattress,Queen,1,EACH,85,60,80,12
Grand Haven Mattress - King,RDU-BED-MAT-KG-GH,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783268703/mattress.png,"""Size: King | Weight: 110.0 lbs | Material: Ice Touch Cover, Foam & 720-Count Pocket Coil | Case Quantity: 1 | Packaging: Wholesale case pack for cost-effective bulk purchasing""","""Grand Haven Mattress - King is built for consistent guest comfort and commercial durability. It combines an Ice Touch cover, foam comfort layers, and a 720-count pocket coil system to support hotels, resorts, motels, and vacation rentals.""",Custom-milled Ice Touch cover,720-count 8-inch pocket coil system,Plush or firm comfort options,Built for commercial hospitality durability,1,King,323.07,323.07,299.99,288.45,Grand Haven Mattress,King,1,EACH,110,76,80,12
